# Virtual file system layout
# Format: \Path\To\Entry,isDirectory,fileSize,unixTimestamp
#
# isDirectory : true | false
# fileSize    : bytes (ignored for directories, use 0)
# unixTimestamp : seconds since Unix epoch (controls all timestamps)

\AWS,true,0,1743942586
\AWS\credentials,false,116,1741508986
\AWS\config,false,94,1739636986
\AWS\iam_access_keys.csv,false,198,1744586986
\AWS\s3_bucket_policy.json,false,1243,1736177386

\SSH Keys,true,0,1751527786
\SSH Keys\id_rsa,false,1675,1738927786
\SSH Keys\id_rsa.pub,false,381,1738927786
\SSH Keys\id_ed25519,false,411,1740680986
\SSH Keys\id_ed25519.pub,false,107,1740680986
\SSH Keys\authorized_keys,false,762,1736926186
\SSH Keys\deploy_key.pem,false,1704,1742354986

\API Keys,true,0,1744586986
\API Keys\api_keys.json,false,847,1748708986
\API Keys\github_pat.txt,false,93,1745674186
\API Keys\stripe_keys.txt,false,312,1749252586
